"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1979-11-14","1.02","77","84","73"
"BRM00082900","RECIFE, BR","1979-11-15","0.28","78","82","72"
"BRM00082900","RECIFE, BR","1979-11-16","0.24","77","82","72"
"BRM00082900","RECIFE, BR","1979-11-17","0.02","79","82","72"
"BRM00082900","RECIFE, BR","1979-11-18","0.00","80","84","77"
"BRM00082900","RECIFE, BR","1979-11-20","0.02","80","84","72"
"BRM00082900","RECIFE, BR","1979-11-21","0.00","81","86","72"
"BRM00082900","RECIFE, BR","1979-11-22","0.02","78","86","70"
"BRM00082900","RECIFE, BR","1979-11-23","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-11-24","0.00","80","86","75"
"BRM00082900","RECIFE, BR","1979-11-27","0.00","80","90","72"
"BRM00082900","RECIFE, BR","1979-11-28","0.00","80","88","73"
"BRM00082900","RECIFE, BR","1979-11-30","0.00","76","88","68"
"BRM00082900","RECIFE, BR","1980-02-28","0.00","80","86","73"
"BRM00082900","RECIFE, BR","1980-03-13","2.36","81",,"72"
"BRM00082900","RECIFE, BR","1980-05-18","0.02","79","84","70"
"BRM00082900","RECIFE, BR","1980-05-28","0.02","78",,"72"
"BRM00082900","RECIFE, BR","1980-06-02","0.00","80","82","72"
"BRM00082900","RECIFE, BR","1980-06-29","0.00","78","82","68"
"BRM00082900","RECIFE, BR","1980-08-02","0.00","75","90","68"
"BRM00082900","RECIFE, BR","1980-09-20","0.31","77","82","72"
"BRM00082900","RECIFE, BR","1980-11-27","0.08","77","86","72"
"BRM00082900","RECIFE, BR","1980-12-18","0.28","81","86","72"
"BRM00082900","RECIFE, BR","1980-12-29","0.00","83","86","72"
"BRM00082900","RECIFE, BR","1981-01-09","0.00","81","84","72"
"BRM00082900","RECIFE, BR","1981-04-24","0.35","80","86","70"
"BRM00082900","RECIFE, BR","1981-04-30","0.04","80","84","72"
"BRM00082900","RECIFE, BR","1981-05-15","0.01","79","82","70"
"BRM00082900","RECIFE, BR","1981-06-11","0.31","78","82","68"
"BRM00082900","RECIFE, BR","1981-06-13","1.26","74",,"72"
"BRM00082900","RECIFE, BR","1981-06-18","0.02","79","82","66"
"BRM00082900","RECIFE, BR","1981-06-22","0.00","75","81","66"
"BRM00082900","RECIFE, BR","1981-06-30","0.39","77","82","72"
"BRM00082900","RECIFE, BR","1981-08-26","0.51","75","82","70"
"BRM00082900","RECIFE, BR","1981-10-18","0.00","81","86","68"
"BRM00082900","RECIFE, BR","1981-12-08","0.35","81","86","73"
"BRM00082900","RECIFE, BR","1982-05-04",,"78","86","71"
"BRM00082900","RECIFE, BR","1982-06-28","0.28","79","83","69"
"BRM00082900","RECIFE, BR","1982-09-07","0.16","76","83","72"
"BRM00082900","RECIFE, BR","1982-10-14",,"79","84","70"
"BRM00082900","RECIFE, BR","1982-10-29","0.12","81",,"72"
"BRM00082900","RECIFE, BR","1982-10-31",,"81","86","68"
